,Unnamed: 0,id,type,rooms,bathrooms,squaremeters,floor,furnished,image,description,price,typenum,furnishednum,transport,equipped,renovated,shops,cellar,balcony,parking,shared,green,historic,university,predictions
44,126,139,studio,1,1,18,3,yes,html/img/houses/139.JPG,"On the Place Saint-Michel. in a very beautiful building completely renovated. Pleasant furnished duplex studio in a quiet courtyard side, comprising an entrance hall, main room with kitchen area, shower room, bedroom upstairs.",490,2,1,1,0,1,1,0,0,0,0,0,0,0,489.7035348498831
6,9,10,apartment,1,1,44,1,yes,html/img/houses/10.jpg,"furnished flat with living room, fitted and equipped kitchen, 1 bedroom, balcony, location: garage, green spaces",700,3,1,0,1,0,0,0,1,1,0,1,0,0,701.4860364792528
25,4,4,apartment,2,2,85,0,yes,html/img/houses/4.jpg,"It is offered for rent a modern apartment renovated, furnished and equipped, with 2 double and luxurious bedrooms, and 2 bathrooms very spacious.Pets are also allowed if the strict hygiene measures in the apartment are respected. ",950,3,1,0,1,1,0,0,0,0,0,0,0,0,947.6752025527476
99,149,163,studio,1,1,15,1,yes,html/img/houses/163.JPG,"furnished room, location: air parking, green spaces, close to shops, STAR bus, SNCF train station",450,2,1,1,0,0,1,0,0,1,0,1,0,0,452.1349325313164
81,134,147,studio,1,1,19,0,no,html/img/houses/147.JPG,"In the immediate vicinity of the Place des Lices, discover this studio consisting of an entrance with cupboard, a main room with kitchenette and a shower room with wc. Cold water is included in the provisions for charges.",420,2,0,1,0,0,1,0,0,0,0,0,0,0,417.0423609998576
105,18,19,studio,1,1,14,-1,no,html/img/houses/19.jpg,"Studio of 14.48mÂ² in a quiet area, close to the Faculty of Law, it includes a south facing living room opening onto a common courtyard, equipped kitchenette (hotplates, fridge, hood), a shower room with toilet. ",400,2,0,0,1,0,0,0,0,0,0,0,0,0,403.4058717202936
60,3,3,apartment,2,1,46,0,no,html/img/houses/3.jpg,"Apartment Type 2 in Volney district including an entrance with closet, living room with cupboard overlooking a terrace, fitted and equipped kitchen, bedroom, bathroom, toilet, box in the basement.",640,3,0,0,1,0,0,1,1,0,0,0,0,0,646.1205872857637
46,38,41,apartment,3,1,63,2,no,html/img/houses/41.JPG," In a recent residence located at the foot of the Beauregard promenade, come and discover this apartment comprising an entrance with large fitted cupboards, a living room with open kitchen and 19m2 balcony, two bedrooms on parquet, one with cupboard, a bathroom and separate toilets. You also benefit from a secure underground garage.",817,3,0,0,0,1,0,0,1,1,0,0,0,0,808.4528656033629
17,85,98,apartment,3,2,70,0,no,html/img/houses/98.JPG,"We offer a two-bedroom apartment, located on the ground floor, comprising: an entrance with cupboard, a living room opening onto a balcony, a fully equipped kitchen, two bedrooms, one of which has a cupboard, a bathroom and a WC. ",790,3,0,0,1,0,0,0,1,0,0,0,0,0,781.6287322722426
57,8,8,apartment,2,1,56,1,no,html/img/houses/8.jpg,"Surface of 56.32mÂ² with balcony and parking- Living room 35mÂ², 1 bedroom, bathroom - balcony (18.20mÂ²)",720,3,0,0,0,0,0,0,1,1,0,0,0,0,728.0731388481311
