User,Trial,House,Condition,Phase,RentalPrice,Recommendation,Answer,AnswerMin,AnswerMax,StartTime,SaveTime,EndTime,Duration,"Reaction Time","Subjective Surprise",Confidence,Expectations,Trust,"Trust Save Time","Yes Time","No time",Change,"Second Estimation","Second Estimation Time","Final Estimation",Stars,"Weight of Advice"
10,0,192,3,1,950,910,0,0,0,1657705417,0,1657705442,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,105,3,1,716,715,0,0,0,1657705442,0,1657705455,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,19,3,1,400,375,0,0,0,1657705455,0,1657705468,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,122,3,1,725,725,0,0,0,1657705468,0,1657705481,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,163,3,1,450,410,0,0,0,1657705481,0,1657705493,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,44,3,1,750,745,0,0,0,1657705493,0,1657705504,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,41,3,1,817,805,0,0,0,1657705504,0,1657705511,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,98,3,1,790,910,0,0,0,1657705511,0,1657705520,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,120,3,1,522,490,0,0,0,1657705520,0,1657705533,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,119,3,1,750,720,0,0,0,1657705534,0,1657705544,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,137,3,1,659,570,0,0,0,1657705544,0,1657705553,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,3,3,1,640,650,0,0,0,1657705553,0,1657705561,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,12,45,3,1,870,870,0,0,0,1657705561,0,1657705570,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,64,3,1,930,1030,0,0,0,1657705570,0,1657705587,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,10,3,1,700,660,0,0,0,1657705587,0,1657705595,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,8,3,1,720,745,0,0,0,1657705595,0,1657705602,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,58,3,1,490,530,0,0,0,1657705602,0,1657705608,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,139,3,1,490,455,0,0,0,1657705608,0,1657705615,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,75,3,1,994,1010,0,0,0,1657705615,0,1657705625,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,86,3,1,850,875,0,0,0,1657705625,0,1657705633,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,4,3,1,950,1060,0,0,0,1657705633,0,1657705641,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,21,147,3,1,420,430,0,0,0,1657705641,0,1657705645,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,196,3,1,650,675,0,0,0,1657705645,0,1657705650,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,23,181,3,1,789,720,0,0,0,1657705650,0,1657705655,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,24,157,3,1,585,540,0,0,0,1657705655,0,1657705660,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,152,3,1,515,590,0,0,0,1657705660,0,1657705668,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26,106,3,1,457,495,0,0,0,1657705668,0,1657705673,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,175,3,1,500,505,0,0,0,1657705673,0,1657705677,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28,170,3,1,460,465,0,0,0,1657705677,0,1657705682,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29,32,3,1,895,1005,0,0,0,1657705682,0,1657705686,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,28,3,2,846,980,0,800,1100,1657705696,1657705713,1657705714,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,124,3,2,430,505,0,500,600,1657705714,1657705735,1657705736,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,107,3,2,790,755,0,600,800,1657705736,1657705879,1657705880,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,100,3,2,895,895,0,700,900,1657705880,1657705890,1657705891,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,197,3,2,635,555,0,500,650,1657705891,1657705901,1657705902,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,155,3,2,450,435,0,450,550,1657705902,1657705914,1657705915,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,36,3,2,790,755,0,700,850,1657705915,1657705926,1657705926,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,167,3,2,580,540,0,600,700,1657705927,1657705937,1657705938,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,65,3,2,450,450,0,500,600,1657705938,1657705954,1657705955,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,110,3,2,758,755,0,850,900,1657705955,1657705966,1657705967,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,36,3,3,790,755,750,0,0,1657706041,1657706058,1657706068,27,10,2,4,5.3333333333333,0,0,0,1657706066,false,-1,0,750,4,0
10,1,84,3,3,1385,910,850,0,0,1657706068,1657706093,1657706112,44,19,4,4,62.941176470588,0,1657706081,1657706106,1657706066,true,870,1657706110,870,2,0.33333333333333
10,2,5,3,3,791,595,700,0,0,1657706112,1657706156,1657706165,53,9,5,5,13,3,1657706131,1657706106,1657706164,false,870,1657706110,700,4,0
10,3,110,3,3,758,755,750,0,0,1657706165,1657706200,1657706218,53,18,3,3,1.0666666666667,3,1657706172,1657706106,1657706217,false,870,1657706110,750,5,0
10,4,187,3,3,1550,1295,950,0,0,1657706218,1657706244,1657706262,44,18,5,5,63.157894736842,3,1657706228,1657706257,1657706217,true,1100,1657706260,1100,2,0.43478260869565
10,5,176,3,3,390,390,500,0,0,1657706262,1657706279,1657706292,30,13,5,5,22,3,1657706270,1657706287,1657706217,true,450,1657706291,450,3,0.45454545454545
10,6,113,3,3,750,790,850,0,0,1657706292,1657706323,1657706329,37,6,4,5,11.764705882353,3,1657706304,1657706287,1657706328,false,450,1657706291,850,3,0
10,7,104,3,3,670,745,580,0,0,1657706329,1657706357,1657706369,40,12,4,4,15.51724137931,5,1657706340,1657706363,1657706328,true,620,1657706368,620,4,0.24242424242424
