User,Trial,House,Condition,Phase,RentalPrice,Recommendation,Answer,AnswerMin,AnswerMax,StartTime,SaveTime,EndTime,Duration,"Reaction Time","Subjective Surprise",Confidence,Expectations,Trust,"Trust Save Time","Yes Time","No time",Change,"Second Estimation","Second Estimation Time","Final Estimation",Stars,"Weight of Advice"
40,0,10,3,1,700,700,0,0,0,1659346607,0,1659346632,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,170,3,1,460,440,0,0,0,1659346632,0,1659346663,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,157,3,1,585,600,0,0,0,1659346663,0,1659346680,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,75,3,1,994,970,0,0,0,1659346680,0,1659346726,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,137,3,1,659,665,0,0,0,1659346726,0,1659346748,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,32,3,1,895,880,0,0,0,1659346748,0,1659346763,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,181,3,1,789,805,0,0,0,1659346763,0,1659346778,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,44,3,1,750,780,0,0,0,1659346778,0,1659346793,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,185,3,1,1200,905,0,0,0,1659346793,0,1659346850,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,8,3,1,720,730,0,0,0,1659346850,0,1659346883,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,10,3,1,700,700,0,0,0,1659346884,0,1659346910,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10,86,3,1,850,890,0,0,0,1659346883,0,1659346913,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,170,3,1,460,440,0,0,0,1659346910,0,1659346921,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,157,3,1,585,600,0,0,0,1659346921,0,1659346930,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,75,3,1,994,970,0,0,0,1659346930,0,1659346936,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,137,3,1,659,665,0,0,0,1659346936,0,1659346942,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11,163,3,1,450,450,0,0,0,1659346913,0,1659346941,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,32,3,1,895,880,0,0,0,1659346942,0,1659346952,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,181,3,1,789,805,0,0,0,1659346952,0,1659346957,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,3,3,1,640,645,0,0,0,1659346941,0,1659346956,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,44,3,1,750,780,0,0,0,1659346957,0,1659346964,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,185,3,1,1200,905,0,0,0,1659346964,0,1659346970,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,8,3,1,720,730,0,0,0,1659346970,0,1659346975,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10,86,3,1,850,890,0,0,0,1659346975,0,1659346979,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11,163,3,1,450,450,0,0,0,1659346979,0,1659346982,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,3,3,1,640,645,0,0,0,1659346982,0,1659346986,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,13,4,3,1,950,950,0,0,0,1659346986,0,1659346990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,14,98,3,1,790,780,0,0,0,1659346990,0,1659346993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,15,64,3,1,930,970,0,0,0,1659346993,0,1659346995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,13,4,3,1,950,950,0,0,0,1659346956,0,1659346996,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,16,119,3,1,750,725,0,0,0,1659346995,0,1659346998,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,17,196,3,1,650,665,0,0,0,1659346998,0,1659347000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,14,98,3,1,790,780,0,0,0,1659346996,0,1659347002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,18,175,3,1,500,490,0,0,0,1659347000,0,1659347005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,15,64,3,1,930,970,0,0,0,1659347002,0,1659347008,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19,152,3,1,515,530,0,0,0,1659347005,0,1659347010,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,58,3,1,490,480,0,0,0,1659347010,0,1659347014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,21,122,3,1,725,715,0,0,0,1659347014,0,1659347017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,22,106,3,1,457,470,0,0,0,1659347017,0,1659347020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,23,105,3,1,716,745,0,0,0,1659347020,0,1659347023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,24,147,3,1,420,415,0,0,0,1659347023,0,1659347031,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,25,41,3,1,817,810,0,0,0,1659347031,0,1659347033,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,16,119,3,1,750,725,0,0,0,1659347008,0,1659347036,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,26,139,3,1,490,490,0,0,0,1659347033,0,1659347038,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,27,192,3,1,950,915,0,0,0,1659347038,0,1659347043,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,28,19,3,1,400,405,0,0,0,1659347043,0,1659347046,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,29,45,3,1,870,890,0,0,0,1659347046,0,1659347050,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,17,196,3,1,650,665,0,0,0,1659347036,0,1659347079,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,18,175,3,1,500,490,0,0,0,1659347079,0,1659347087,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,46,3,2,480,515,0,400,700,1659347068,1659347091,1659347093,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19,152,3,1,515,530,0,0,0,1659347088,0,1659347101,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,58,3,1,490,480,0,0,0,1659347102,0,1659347119,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,21,122,3,1,725,715,0,0,0,1659347119,0,1659347123,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,100,3,2,895,870,0,900,1500,1659347093,1659347127,1659347130,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0
40,22,106,3,1,457,470,0,0,0,1659347123,0,1659347130,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,23,105,3,1,716,745,0,0,0,1659347131,0,1659347138,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,24,147,3,1,420,415,0,0,0,1659347138,0,1659347146,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,67,3,2,570,595,0,450,900,1659347130,1659347147,1659347148,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,25,41,3,1,817,810,0,0,0,1659347146,0,1659347151,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,26,139,3,1,490,490,0,0,0,1659347151,0,1659347154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,27,192,3,1,950,915,0,0,0,1659347154,0,1659347156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,28,19,3,1,400,405,0,0,0,1659347156,0,1659347168,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,29,45,3,1,870,890,0,0,0,1659347168,0,1659347170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
